id,name,phone_number,address
10926,Miroslav Gude,(01160) 752096,"Weißstraße 565, 60272 Bergzabern"
10927,Zlatko Oderwald MBA.,(01538) 758194,"Linda-Schottin-Straße 5/3, 62899 Böblingen"
10928,Mesut Preiß MBA.,07308 88308,"Weinholdgasse 4/1, 24015 Meißen"
10929,Marek Klemm,+49(0)5266503167,"Cosima-Scholz-Straße 105, 20914 Cuxhaven"
10930,Abbas Jäntsch B.Eng.,(07243) 16697,"Antonino-Scheel-Allee 4, 80492 Ludwigsburg"
10931,Univ.Prof. Alfons Lindau,+49(0)4427525542,"Lia-Harloff-Allee 834, 66089 Ribnitz-Damgarten"
10932,Suse Bärer,0203151142,"Haufferallee 99, 17258 Hansestadttralsund"
10933,Notburga Heinz,+49(0)0107893939,"Heide-Marie-Beer-Ring 4, 53832 Starnberg"
10934,Metin Franke,+49(0) 134091288,"Vesna-Schottin-Gasse 74, 03105 Hansestadttralsund"
10935,Ing. Guido Etzold,+49 (0) 7839 819833,"Karina-Bolander-Ring 75, 21904 Genthin"
10936,Hansgeorg Blümel-Siering,+49(0) 451820755,"Kathleen-Römer-Straße 22, 90489 Strasburg"
10937,Türkan Renner,06400 508863,"Grafweg 0, 40829 Tuttlingen"
10938,Berta Bohlander,03365 64177,"Stavros-Schinke-Gasse 8, 81683 Stollberg"
10939,Alex Kohl,05497965077,"Reichmannplatz 2, 70931 Warendorf"
10940,Janus Zänker MBA.,+49 (0) 7877 900833,"Junitzallee 1/9, 44465 Uffenheim"
10941,Ursula Löchel,(04024) 66787,"Ottmar-Schuchhardt-Platz 48, 71002 Havelberg"
10942,Eckart Gröttner,0140602534,"Wellergasse 6, 07289 Bayreuth"
10943,Yvette Etzold,+49 (0) 0528 722432,"Thoralf-Ladeck-Ring 392, 95844 Sigmaringen"
10944,Marianna Rose B.Sc.,04987 15743,"Theo-Schaaf-Platz 6/2, 52906 Greiz"
10945,Lara Huhn MBA.,08153 26418,"Dowergstraße 310, 76633 Peine"
10946,Korinna Hentschel,0301354615,"Scholzgasse 4, 13132 Hersbruck"
10947,Victoria Patberg-Schacht,+49(0)0962 77376,"Krokerstraße 5, 04716 Ochsenfurt"
10948,Anett Scheuermann-Salz,+49(0) 319669841,"Herrmannstr. 86, 54416 Apolda"
10949,Stanislaus Täsche B.Eng.,01100547785,"Hans-Michael-Graf-Allee 580, 24990 Wolgast"
10950,Prof. Burghard Carsten,+49(0) 730033672,"Heinrichplatz 766, 03549 Witzenhausen"
10951,Siegrun Oestrovsky-Otto,+49(0)2476 252441,"Gröttnerstraße 2/9, 75955 Döbeln"
10952,Zdenka Junitz,0460893950,"Wilfried-Caspar-Gasse 7/0, 92830 Höxter"
10953,Sabrina Pölitz,06508552049,"Katrin-Klemt-Platz 8/6, 08198 Demmin"
10954,Carmen Nerger,+49(0)3498618525,"Krausring 212, 16847 Miltenberg"
10955,Ing. Oxana Kruschwitz B.Sc.,(02407) 14205,"Jaroslaw-Christoph-Platz 2/9, 14993 Zossen"
10956,Heino Gunpf-Hettner,(04313) 193718,"Diana-Weinhold-Straße 129, 93379 Malchin"
10957,Ing. Dunja Kramer B.Eng.,0724664726,"Meistergasse 4, 41436 Bad Kissingen"
10958,Gesche Schleich-Grein Groth,+49 (0) 0689 332985,"Raphael-Eckbauer-Gasse 038, 77455 Marktheidenfeld"
10959,Hedda Kensy,+49(0)6911173512,"Sina-Kusch-Weg 118, 04844 Guben"
10960,Mathilde Heydrich,+49(0)7350 147320,"Lucie-Schomber-Ring 9, 58003 Kyritz"
10961,Toni Tintzmann,+49(0)7384109279,"Pärtzeltring 584, 23200 Schweinfurt"
10962,Paolo Döring,+49(0) 183813982,"Ziegertring 171, 46314 Bamberg"
10963,Silja Jäntsch-Davids,07328992901,"Krauseplatz 953, 70335 Oschatz"
10964,Asta Schacht,00248 82447,"Olav-Holsten-Straße 3/4, 53764 Grimmen"
10965,Theres Renner,+49 (0) 0104 429955,"Hans-Karl-Fritsch-Gasse 09, 62953 Erding"
10966,Tino Bolzmann,+49(0)7650 212832,"Kranzallee 0/3, 39802 Erkelenz"
10967,Gerhild Putz,+49(0)4944 063591,"Häringgasse 1, 52585 Hofgeismar"
10968,Annegrete Barkholz,0272570740,"Krausering 423, 46470 Eichstätt"
10969,Vito Dörschner,01481 449632,"Ehrentraud-Bachmann-Allee 96, 35446 Dachau"
10970,Marie-Luise Davids-Staude,+49 (0) 6870 551081,"Rohlederplatz 9/8, 63407 Weißwasser"
10971,Prof. Vinko Söding B.Sc.,00391 590297,"Eric-Fröhlich-Platz 93, 56898 Belzig"
10972,Hans Jürgen Kühnert,05683 894251,"Wilmsenplatz 11, 54695 Strausberg"
10973,Hildburg Schmidtke,08312 553210,"Sabri-Losekann-Gasse 971, 75667 Waren"
10974,Vitus Kostolzin,(07708) 073933,"Adolphallee 9, 42066 Pfaffenhofen an der Ilm"
10975,Melita Pergande,+49(0)1823 40037,"Müllerstr. 129, 32306 Wittstock"
10976,Utz Losekann B.A.,+49(0) 414236697,"Klingelhöferweg 1/7, 23949 Pegnitz"
10977,Karl-Heinrich Mielcarek,(04164) 01870,"Röhrichtstraße 186, 40226 Bremervörde"
10978,Herr Nuri Neuschäfer,03139 521406,"Hermann Josef-Kaul-Gasse 1, 54758 Schweinfurt"
10979,Frau Eugenia Salz,+49(0) 992690399,"Fechnergasse 5/9, 78417 Melsungen"
10980,Tino Hendriks,+49(0)0081234898,"Kreingasse 7, 80723 Saarlouis"
10981,Ing. Hildegart Dowerg,0353681749,"Lene-Matthäi-Straße 00, 35874 Lüdinghausen"
10982,Frau Olivia Rose,+49(0)9856 684748,"Nina-Geißler-Straße 345, 05870 Bad Kreuznach"
10983,Eberhard Trapp,+49(0)9494639591,"Valerij-Wilms-Weg 89, 30532 Eggenfelden"
10984,Susanne Schönland,+49(0)4046595737,"Jacobi Jäckelplatz 3, 16776 Hamburg"
10985,Gesine Ditschlerin-Scheuermann,(06999) 968108,"Alban-Freudenberger-Allee 3, 31855 Wolmirstedt"
10986,Friedo Lehmann,+49(0)1631 51367,"Wesackplatz 0, 84091 Aschaffenburg"
10987,Susann Hellwig,0723115154,"Ljudmila-Süßebier-Weg 433, 38561 Schweinfurt"
10988,Reni Vogt,+49 (0) 9659 300473,"Barthweg 386, 56432 Klötze"
10989,Dipl.-Ing. Gotthard Schleich,+49 (0) 6983 740012,"Elisabeth-Klingelhöfer-Allee 795, 02327 Regen"
10990,Henner Finke,+49(0)6253858740,"Gabriela-Caspar-Platz 81, 09119 Melle"
10991,Prof. Olga Weinhold MBA.,01458 47483,"Karl-Werner-Stiffel-Ring 2, 04654 Witzenhausen"
10992,Gerta Stroh,02214 78581,"Kira-Hamann-Allee 821, 80598 Luckau"
10993,Adelbert Käster-Heinrich,+49(0) 783258082,"Emmy-Schmidt-Ring 82, 75195 Grevenbroich"
10994,Urs Ehlert MBA.,+49 (0) 5085 749845,"Ludwina-Wilms-Platz 737, 19720 Strasburg"
10995,Teresa Misicher-Putz,+49(0)2795949056,"Annerose-Oderwald-Straße 93, 60708 Uelzen"
10996,Jan Drewes B.Sc.,06144 536513,"Diane-Hamann-Ring 5/5, 70210 Cuxhaven"
10997,Birger Cichorius B.A.,+49(0)1544658549,"Centa-Klotz-Platz 431, 67557 Döbeln"
10998,Diane Textor B.Eng.,00067 83492,"Sabine-Hettner-Gasse 1/0, 17524 Apolda"
10999,Carolin Sontag,01748456926,"Lambert-Gehringer-Allee 97, 89129 Wertingen"
11000,Birthe Nerger,+49(0)1739729557,"Stiffelallee 1, 01850 Calau"
11001,Prof. Ingetraud Klapp B.Sc.,01218 21260,"Vogtplatz 1, 27689 Wernigerode"
11002,Lene Steckel,+49(0)7513035840,"Ringallee 6, 46952 Neustadt am Rübenberge"
11003,Antonina Mälzer,+49(0)6191458055,"Heintzegasse 91, 39640 Säckingen"
11004,Murat Schmiedt-Jungfer,+49 (0) 5254 103671,"Inken-Stoll-Platz 7, 16084 Stadtsteinach"
11005,Viktor Jopich,(05359) 532974,"Lieselotte-Hettner-Straße 48, 44635 Düren"
11006,Arnim Blümel,09103 38792,"Tintzmannstraße 90, 76987 Großenhain"
11007,Daniel Weinhold-Ziegert,(08929) 459025,"Sigfried-Hamann-Allee 304, 62161 Kelheim"
11008,Tilmann Klemt,+49(0)8741 10679,"Theda-Hauffer-Allee 387, 69888 Karlsruhe"
11009,Elly Kramer-Lindau,+49(0) 976230779,"Hilda-Schweitzer-Ring 26, 11869 Lüdinghausen"
11010,Daniela Dietz-Briemer,+49(0)0017038829,"Bernd-Schüler-Weg 5, 97699 Nordhausen"
11011,Dittmar Mülichen,07058 74481,"Blümelstraße 3, 31082 Schwäbisch Gmünd"
11012,Christos Nerger,(09706) 989556,"Klaus-Gnatz-Ring 7, 65267 Garmisch-Partenkirchen"
11013,Ing. Ayten Geisler B.Sc.,00115 48818,"Antonietta-Döhn-Gasse 6, 43022 Viersen"
11014,Mikhail Kusch,06306487688,"Steuerweg 24, 91909 Iserlohn"
11015,Dr. Fritz Girschner,+49 (0) 8873 600571,"Antonia-Hermann-Gasse 88, 73791 Bayreuth"
11016,Lilly Wende,+49(0)8580984603,"Täscheweg 558, 66075 Seelow"
11017,Herr Dino Zimmer,+49(0) 362760778,"Andree-Misicher-Gasse 39, 48964 Gütersloh"
11018,Berend Trub,00193 81112,"Wieslaw-Pärtzelt-Ring 356, 26587 Nauen"
11019,Hans-Josef Gertz,0675402868,"Heckerstraße 442, 83218 Gifhorn"
11020,Prof. Hubertus Hölzenbecher B.Eng.,0564693426,"Marlies-Thies-Allee 3, 43735 Eisenach"
11021,Cynthia Graf,0677139569,"Freddy-Gude-Weg 2/3, 95008 Donaueschingen"
11022,Ewa Scholl,07727 317981,"Henriette-Koch-Weg 992, 46868 Moers"
11023,Egon Schaaf,01355 149891,"Krausering 563, 05248 Stuttgart"
11024,Emilie Gute,0390135476,"Boucseinweg 6/7, 39114 Greifswald"
11025,Prof. Kira Seidel MBA.,+49 (0) 6590 132068,"Schenkplatz 43, 88352 Iserlohn"
11026,Sevim Schleich-Schottin,04439006650,"Volkhard-Gotthard-Straße 3/3, 15352 Konstanz"
11027,Univ.Prof. Mira Blümel B.Eng.,+49 (0) 9291 501621,"Sibilla-Holt-Platz 310, 73127 Sankt Goar"
11028,Anne Dörr B.Eng.,0504893218,"Helmut-Bolander-Straße 50, 57156 Monschau"
11029,Inna Henck,(08260) 79140,"Walterring 452, 40054 Burg"
11030,Waltraud Juncken,(00975) 281590,"Jacek-Löffler-Platz 9, 48987 Cloppenburg"
11031,Henny Gröttner B.Sc.,03056 045589,"Johannstr. 5, 35131 Gadebusch"
11032,Amir Söding,09806 61724,"Römerweg 86, 19731 Celle"
11033,Frau Ute Tröst,+49(0)3982 80860,"Alberto-Gotthard-Weg 2, 22737 Bad Brückenau"
11034,Verena Stroh-Gumprich,+49(0)0696 182933,"Eberhardtgasse 2, 81320 Siegen"
11035,Adelbert Trüb-Anders,(01041) 083481,"Bergerstraße 6, 50547 Sonneberg"
11036,Artur Herrmann,0597181656,"Lambert-Radisch-Straße 83, 39261 Meißen"
11037,Gerard Ladeck B.A.,+49(0) 182400901,"Gülten-Hentschel-Weg 7, 88327 Passau"
11038,Ines Misicher,02292 260569,"Thekla-Meyer-Gasse 6, 40706 Mainburg"
11039,Iwan Heuser-Bauer,+49(0) 143577589,"Karzplatz 0/0, 29774 Pritzwalk"
11040,Frau Helma Rose,+49(0)1468844362,"Sönke-Reichmann-Gasse 00, 30993 Fulda"
11041,Ditmar Dehmel-Haase,(03305) 144548,"Svea-Flantz-Platz 786, 18537 Peine"
11042,Ingo Junck,02066 114612,"Eckbauerweg 32, 20968 Nabburg"
11043,Valentina Ebert,0752439315,"Kreinweg 3/1, 34457 Kusel"
11044,Ahmad Römer-Riehl,08579 69448,"Hans-Wilhelm-Gutknecht-Gasse 5, 52748 Bremervörde"
11045,Karolin Ebert,08566 20273,"Rotraut-Kohl-Straße 2, 88037 Vohenstrauß"
11046,Prof. Vassilios Wagner,+49(0)3271 104080,"Ringplatz 5, 46575 Arnstadt"
11047,Heiko Rust B.Sc.,01389 058898,"Dussen vanweg 0/9, 10997 Sömmerda"
11048,Justus Stoll B.Sc.,04457 71478,"Girschnerstraße 14, 06091 Neuss"
11049,Margarethe Tlustek B.A.,+49(0) 733045139,"Oderwaldgasse 29, 89924 Greifswald"
11050,Theobald Weimer B.A.,03498 48903,"Schleichplatz 986, 68759 Calau"
11051,Univ.Prof. Augustin Hartung B.Eng.,05085 81517,"Sieringstraße 0/3, 22029 Fulda"
11052,Vlado Gutknecht,+49(0) 503646844,"Thiesgasse 04, 39743 Schmölln"
11053,Oskar auch Schlauchin,0868565467,"Michaele-Stiffel-Straße 7, 99073 Soltau"
11054,Reimar Eckbauer,01601 13218,"Bozena-Drub-Platz 617, 44716 Pasewalk"
11055,Univ.Prof. John Löffler MBA.,(08719) 717703,"Marzena-Hande-Gasse 6/7, 68773 Böblingen"
11056,Kamil Säuberlich,05362322367,"Binnerstr. 568, 32228 Belzig"
11057,Inna Junk,+49(0)7364194371,"Pärtzeltweg 99, 26167 Darmstadt"
11058,Lars Ehlert-Wesack,+49(0)4198 17348,"Jana-Hecker-Gasse 99, 75023 Badibling"
11059,Ole Striebitz,+49(0)0708789506,"Hartmannweg 40, 44261 Hannover"
11060,Sibel Kade,+49 (0) 1144 340038,"Roggestraße 9, 39219 Saulgau"
11061,Georgia Hoffmann-Seifert,+49(0) 069922994,"Briemerweg 03, 73149 Sternberg"
11062,Ing. Margita Zänker B.Sc.,+49 (0) 4025 463511,"Karla-Schinke-Allee 84, 61474 Sangerhausen"
11063,Nico Weitzel,02497 04313,"Romuald-Etzold-Allee 30, 57808 Hannover"
11064,Prof. Nina Heintze,+49(0)9003 640895,"Paffrathring 9/0, 66226 Badoberan"
11065,Ing. Kristina Gotthard B.Eng.,07498 67178,"Klaus-Günter-Pärtzelt-Straße 73, 40188 Garmisch-Partenkirchen"
11066,Gunter Hecker,+49(0) 859267964,"Lisa-Tlustek-Platz 0, 93788 Schongau"
11067,Dipl.-Ing. Karl-Heinz Lindau B.Sc.,00505 54100,"Heßplatz 1, 25889 Monschau"
11068,Henriette Rohleder,+49(0)2578 178678,"Janos-Zorbach-Weg 768, 35653 Stollberg"
11069,Bartholomäus Ritter MBA.,+49(0)3983 11401,"Marisa-Sontag-Platz 1/7, 81370 Dessau"
11070,Dipl.-Ing. Phillip Klapp B.A.,+49(0)6001 314676,"Michaela-Hentschel-Gasse 7, 78484 Zerbst"
11071,Ralph Budig-Henk,(00921) 450945,"Kühnertallee 42, 64124 Vohenstrauß"
11072,Liliana Fliegner,03728 18359,"Ullrichweg 4/8, 75874 Griesbach Rottal"
11073,Dipl.-Ing. Elenore Mohaupt,06842 042431,"Steygasse 4/1, 06845 Hammelburg"
11074,Univ.Prof. Herrmann Fechner,0076212530,"Sabrina-Koch II-Ring 50, 97103 Quedlinburg"
11075,Jochen Bolander,+49(0)2204 21678,"Misicherweg 4/5, 72750 Gifhorn"
11076,Gülsen Müller,+49(0)4554 62755,"Friedbert-Hübel-Ring 2, 08629 Wolfenbüttel"
11077,Mirja Spieß,02832 818341,"Gierschnerstraße 90, 00133 Bergzabern"
11078,Univ.Prof. Ignaz Carsten,(03701) 161740,"Heßstr. 74, 21883 Eichstätt"
11079,Nadeshda Kohl,+49(0)7614 615147,"Hermighausenring 863, 03727 Hildburghausen"
11080,Univ.Prof. Christos Jäkel MBA.,+49(0)9680 47834,"Erdogan-Albers-Gasse 56, 61216 Potsdam"
11081,Herbert Kabus-Knappe,+49(0)8410 724760,"Carl-Fechner-Weg 941, 11673 Artern"
11082,Deborah Rose,(08201) 132850,"Hettnerallee 9/7, 78067 Badoberan"
11083,Lukas Aumann,08148 656510,"Wirthplatz 4/5, 83036 Kaiserslautern"
11084,Dr. Hella Striebitz,+49(0) 253308932,"Roskothallee 75, 07724 Hohenstein-Ernstthal"
11085,Tom Hettner,+49(0)8695176550,"Holzapfelgasse 396, 14492 Berchtesgaden"
11086,Dr. Timo Pechel B.A.,08306 614612,"Seipplatz 0/5, 03561 Grevenbroich"
11087,Univ.Prof. Thoralf Bärer,(04275) 807777,"Haasestraße 4/3, 90053 Duderstadt"
11088,Falko Renner-Heintze,0889902958,"Heckergasse 64, 11813 Augsburg"
11089,Gertrude Hettner,+49(0)8522 59479,"Edmund-Sager-Straße 1/6, 73160 Soltau"
11090,Univ.Prof. Irmi Schleich B.A.,+49(0)9832 990915,"Stiffelplatz 496, 80987 Grafenau"
11091,Jaroslav Peukert B.Sc.,+49 (0) 9701 211315,"Karl-Heinrich-Haase-Platz 625, 66573 Koblenz"
11092,Teresa Weimer MBA.,03177 66681,"Stolzegasse 65, 06323 Forchheim"
11093,Irmtrud Adler-Kranz,02919 70050,"Tlustekplatz 8, 84416 Burg"
11094,Prof. Ilias Plath B.Eng.,+49 (0) 4896 601156,"Eberhardtallee 61, 69941 Mühlhausen"
11095,Hans Jörg Barth B.A.,(07466) 53808,"Heinz-Schinke-Straße 8/3, 47469 Celle"
11096,Univ.Prof. Hans-Gerd Pechel MBA.,+49(0) 819705647,"Süßebiergasse 418, 35757 Rosenheim"
11097,Marica Bolnbach B.Eng.,+49 (0) 3762 526450,"Schenkallee 4/6, 77676 Jessen"
11098,Tim Mude,+49(0) 874444313,"Yusuf-Karge-Weg 1/4, 11281 Feuchtwangen"
11099,Ann Etzold,01486 94867,"Haufferallee 8/4, 49487 Hammelburg"
11100,Amelie Tschentscher,+49(0)6167016415,"Erich-Stoll-Platz 1, 36881 Vechta"
11101,Siglinde Schinke,+49 (0) 7445 544086,"Liliane-Nerger-Allee 0/9, 75965 Kötzting"
11102,Dolores Patberg-Winkler,0163381523,"Kostolzinstr. 114, 83865 Höxter"
11103,Hans-Wilhelm Mälzer,+49(0)3741 35390,"Kadeallee 7/7, 88037 Rostock"
11104,Karla Wulf-Patberg,0487964336,"Gino-Heintze-Weg 19, 96669 Kyritz"
11105,Univ.Prof. Mahmut Albers MBA.,+49(0)7061 432142,"Isabel-Staude-Platz 0, 55296 Wittenberg"
11106,Laila Wulff,(04066) 607007,"Sigismund-Schäfer-Gasse 5, 22965 Badibling"
11107,Dipl.-Ing. Süleyman Reising B.A.,(02393) 239383,"Hans-Gerhard-Reichmann-Gasse 1/5, 98082 Meißen"
11108,Dipl.-Ing. Ben Gorlitz,+49(0)6046 96338,"Freudenbergerring 081, 26994 Paderborn"
11109,Valeska Pieper B.A.,(05722) 199250,"Ramazan-Pruschke-Straße 322, 68847 Bayreuth"
11110,Pirmin Stahr,+49(0)8193 67343,"Georg-Freudenberger-Straße 82, 54986 Berlin"
11111,Sedat Franke MBA.,07098 687116,"Filiz-Albers-Allee 7/9, 01148 Rothenburg ob der Tauber"
11112,Univ.Prof. Mathilde Lorch,(02987) 40013,"Waldtraut-Dowerg-Weg 869, 02773 Gunzenhausen"
11113,Branko Bohlander,07905674424,"Konstanze-Tröst-Gasse 00, 01597 Vechta"
11114,Emmerich Scholl,+49(0)5036862904,"Lene-Werner-Weg 087, 58898 Mühldorf am Inn"
11115,Meral Bohlander,+49(0) 228487952,"Janko-Hermann-Weg 69, 54054 Jena"
11116,Dana Schmidtke,0312811117,"Donata-Müller-Platz 6/6, 34086 Weimar"
11117,Ibrahim Krein MBA.,(08499) 81908,"Rotraut-Kitzmann-Gasse 402, 29693 Bergzabern"
11118,Gordana Bender,01020 867626,"Waldtraut-Gude-Weg 1/3, 74783 Schwandorf"
11119,Elenore Adler,+49 (0) 1588 250395,"Alban-Reichmann-Straße 2/4, 40270 Rehau"
11120,Isabell Trub-Kabus,+49(0) 826441979,"Kreinring 4/0, 28455 Tuttlingen"
11121,Miroslav Mans,04241091433,"Junckstr. 663, 55271 Kleve"
11122,Rudolf Reuter,(07362) 698861,"Jurij-Dietz-Ring 3/5, 05814 Wunsiedel"
11123,Hans-Josef Kruschwitz,0265153218,"Dobesweg 70, 50466 Sankt Goar"
11124,Jasmina Bachmann-Barth,+49(0) 164271171,"Winklerplatz 85, 07415 Hettstedt"
11125,Prof. Vanessa Schmiedecke B.A.,05142 611557,"Radischring 5/2, 33655 Neustadt am Rübenberge"
11126,Daniela Krause,+49(0)5382 970328,"Vollbrechtstr. 3, 18321 Stadtsteinach"
11127,Cemil Paffrath,(00426) 63494,"Niemeiergasse 994, 19459 Kaiserslautern"
11128,Dr. Susi Tlustek B.Sc.,07740 80390,"Steuerweg 46, 74625 Görlitz"
11129,Ante Hendriks,00555 915340,"Mosemannstraße 7/4, 01821 Geithain"
11130,Alf Kroker,(08639) 731669,"Peukertring 060, 25270 Cottbus"
11131,Alexa Zorbach,+49 (0) 9871 882956,"Stiebitzstraße 6, 12443 Naila"
11132,Denise Conradi,0197678826,"Birnbaumgasse 9, 34479 Lörrach"
11133,Leander Gertz,+49(0) 473868142,"Steven-Römer-Gasse 9, 46392 Eichstätt"
11134,Clara Heinz,+49 (0) 5085 886343,"Tröstring 991, 19350 Rathenow"
11135,Annie Klingelhöfer-Hauffer,+49(0)1935860788,"Irena-Hermann-Allee 800, 05423 Kelheim"
11136,Ivan Cichorius B.Eng.,+49(0)7492 852563,"Cemal-Schlosser-Ring 23, 49160 Kitzingen"
11137,Svea Kabus MBA.,03964 00947,"Raphaela-Neureuther-Ring 644, 87518 Rockenhausen"
11138,Krystyna Winkler,+49 (0) 1349 367779,"Steuergasse 716, 94903 Bad Liebenwerda"
11139,Prof. Monica Salz,03281 863607,"Wagnerstraße 1, 80402 Eisenach"
11140,Dr. Klaus-Dieter Mosemann B.Eng.,0525163619,"Ruth-Herrmann-Gasse 9, 00438 Northeim"
11141,Katalin Heser,01785 71606,"Junitzring 08, 18534 Beilngries"
11142,Heinz-Georg Drub B.A.,+49(0)9505531394,"Hamannplatz 31, 10667 Miltenberg"
11143,Halil Noack-Rogge,+49(0)3501 10301,"Ziegertweg 78, 71314 Ebern"
11144,Kornelia Preiß-Krause,(07799) 502798,"Simona-Sager-Allee 7/4, 49859 Genthin"
11145,Theresia Vollbrecht,+49(0)3615 681836,"Schmiedeckeweg 3, 32542 Schwäbisch Gmünd"
11146,Mustafa Riehl,(09467) 251271,"Marjan-Barth-Allee 4/7, 86469 Plauen"
11147,Herwig Loos,0303346972,"Jochem-Gnatz-Straße 897, 27584 Eggenfelden"
11148,Prof. Elzbieta Etzler B.Sc.,(00532) 044370,"Sepp-Geisler-Straße 735, 69730 Gütersloh"
11149,Reimund Hahn MBA.,01581033938,"Rognerstr. 7, 74129 Büsingen am Hochrhein"
11150,Heidi Wilmsen,+49(0)6624 64324,"Heide-Bolander-Gasse 41, 31462 Merseburg"
11151,Ing. Bertram Bloch,+49(0)3248647610,"Walentina-Striebitz-Weg 7, 39960 Saulgau"
11152,Milica Mende,03950 146735,"Fiebigweg 4/9, 54771 Wolgast"
11153,Egbert Schulz,0844282865,"Clemens-Carsten-Gasse 82, 48136 Bad Mergentheim"
11154,Hedda Vollbrecht,+49(0) 866529052,"Neuschäfergasse 65, 42358 Pinneberg"
11155,Ing. Sylvie Faust,0153583979,"Hölzenbecherallee 1/7, 11940 Schleiz"
11156,Ruthild Wilmsen,+49(0) 326012445,"Werneckeplatz 0/5, 95507 Meppen"
11157,Anke Segebahn B.Eng.,09718 044049,"Wiekring 8, 49330 Neustrelitz"
11158,Prof. Brigitte Dussen van B.A.,00362493958,"Fritschring 78, 21005 Sonneberg"
11159,Ing. Gertraud Fischer MBA.,+49(0)5583 303665,"Mälzerallee 9/1, 76093 Kulmbach"
11160,Herr Dimitri Jacobi Jäckel B.Eng.,+49(0)8899 00303,"Grein Grothstr. 62, 87096 Böblingen"
11161,Faruk Liebelt,(00227) 679444,"Ruth-Mülichen-Allee 64, 18031 Mühlhausen"
11162,Hans-Hinrich Langern-Kallert,(07151) 69095,"Ivo-Weitzel-Platz 90, 04318 Kulmbach"
11163,Ing. Stefan Pieper B.A.,+49(0)5864145324,"Ildiko-Franke-Allee 546, 61542 Ravensburg"
11164,Prof. Gerfried Holt B.A.,08975 700060,"Jüttnerstr. 582, 69660 Teterow"
11165,Herr Oskar Drubin B.Eng.,+49(0)3291 97456,"August-Döring-Gasse 7, 44869 Sankt Goar"
11166,Nancy Stadelmann,+49(0)8748 968074,"Elizabeth-Biggen-Straße 258, 20697 Husum"
11167,Birgit Jähn,0133202734,"Trappring 38, 09769 Magdeburg"
11168,Marko Wernecke-Kambs,+49 (0) 7184 309753,"Heidelore-Mude-Allee 767, 51281 Hettstedt"
11169,Anastasios Pohl B.Sc.,(03608) 773480,"Kitzmannallee 7/5, 51482 Luckau"
11170,Frederic Gerlach,04967 04442,"Gertzweg 5/4, 76407 Germersheim"
11171,Elwira Martin,+49(0)7237 604206,"Damaris-Hesse-Ring 70, 81826 Paderborn"
11172,Ottilie Gotthard,08314 34197,"Schäferplatz 522, 44133 Nauen"
11173,Sibylla Geißler,+49(0)9573 86934,"Ludger-Fiebig-Allee 86, 72341 Tirschenreuth"
11174,Thorsten Roskoth B.Sc.,+49 (0) 4107 058062,"Rose-Marie-Eckbauer-Gasse 61, 79205 Bremen"
11175,Hans-Ludwig Naser B.A.,0058781659,"Pergandeweg 868, 77234 Konstanz"
11176,Dr. Guenter Reuter MBA.,(09860) 920804,"Meral-Dowerg-Straße 8, 39120 Ribnitz-Damgarten"
11177,Ljudmila Karz,+49(0)6793 63279,"Oderwaldring 84, 07763 Freital"
11178,Katrin Fischer-Zorbach,+49(0)4156 361116,"Trubinring 9, 95699 Soltau"
11179,Walther Rudolph,+49(0)8726 35616,"Jakob-Wiek-Straße 10, 44333 Naila"
11180,Dipl.-Ing. Hans-Jochen Trommler B.A.,+49(0) 943233457,"Andrzej-Römer-Allee 8/2, 45401 Bergzabern"
11181,Prof. Magrit Siering,0938448356,"Birnbaumring 90, 22667 Gadebusch"
11182,Theresa Klapp,+49(0)2376206763,"Wladimir-Bauer-Weg 1/5, 73552 Lichtenfels"
11183,Dipl.-Ing. Alexandros Mülichen,+49 (0) 0801 648847,"Rohlederstr. 31, 87589 Rehau"
11184,Mirella Seifert,(01042) 03666,"Birger-Textor-Straße 7, 66618 Finsterwalde"
11185,Ing. Swetlana Seip MBA.,+49(0)8599 89365,"Hamannallee 3, 95561 Lüneburg"
11186,Traute Kusch-Süßebier,(06429) 77808,"Florence-Weitzel-Gasse 05, 00316 Hersbruck"
11187,Frau Grazyna Sölzer B.A.,0281224432,"Barbara-Geißler-Ring 1, 52478 Bersenbrück"
11188,Alwina Margraf,03044 23066,"Rüdiger-Pärtzelt-Platz 1, 92271 Riesa"
11189,Dipl.-Ing. Adeline Ladeck,01958811671,"Robert-Mangold-Weg 9/7, 81421 Görlitz"
11190,Theresia Heidrich,(02033) 04768,"Netteplatz 666, 78076 Soltau"
11191,Peter-Michael Süßebier,+49(0) 957079847,"Weinholdweg 1/2, 75961 Kehl"
11192,Irina Steuer,+49(0) 754302301,"Etzoldgasse 162, 55563 Hagenow"
11193,Mechtild Schlosser B.Sc.,01109 131943,"Pohlallee 070, 76055 Griesbach Rottal"
11194,Edwin Hartung,+49(0)7969426355,"Hilma-Trub-Weg 4, 51459 Pfaffenhofen an der Ilm"
11195,Mustafa Henschel MBA.,09340 36915,"Cäcilia-Bolzmann-Straße 7/1, 60438 Siegen"
11196,Ada Steuer-Noack,(02228) 51217,"Dehmelweg 9/9, 91267 Vechta"
11197,Danica Anders,0798567399,"Pieperallee 87, 40605 Bremen"
11198,Tilo Ernst-Nohlmans,00493 10339,"Rohtallee 132, 63130 Rastatt"
11199,Leander Holzapfel,01754 99130,"Imre-Stiebitz-Platz 7, 52504 Miesbach"
